frequency_hz,amplitude_ch1,amplitude_ch2
0.0,1.02891256,0.23424512
1.0,0.11871866796880855,0.011689044217247532
2.0,0.03739454784115167,0.011399735078182508
3.0,0.10437181815482255,1.739748850408025
4.0,0.0073936966588507794,0.00718802986298828
5.0,0.018026722917527587,0.015387783565362289
6.0,0.1505054567273434,0.11128453487839553
7.0,0.009962909640094202,0.0010008144825801922
8.0,0.017803901495101034,0.00229972292378457
9.0,0.2104440447602813,0.030969551717024573
10.0,0.030045441754780022,0.0009983316015610237
