frequency_hz,amplitude_ch1,amplitude_ch2
0.0,0.5372172,0.0832528
0.5,0.13956655951793265,0.09365714566928127
1.0,0.09432161594128259,0.12891976405041328
1.5,0.05292746298242038,0.2270397992152052
2.0,0.10441430564441867,0.08685982969790856
2.5,0.06442013089268468,0.1657523411373463
3.0,0.03611347529730727,0.14462126667712855
3.5,0.03280083784305614,0.1021310486244322
4.0,0.05591973648034597,0.06953897241194668
4.5,0.06215556885656041,0.047256225587648616
5.0,0.08995183525852438,1.5444610931267635
5.5,0.02472320303703279,0.07295694550204662
6.0,0.01341929235543239,0.012619646862434516
6.5,0.03771927316619989,0.04246459571633493
7.0,0.027583067698183097,0.07282485958190053
7.5,0.04009655169117857,0.05925206650023461
8.0,0.09488480876628096,0.04506103118510728
8.5,0.04321971261146544,0.047762939293625406
9.0,0.07361355312264391,0.051444450508162695
9.5,0.017578911840789836,0.03511642534761385
10.0,0.04297082914048295,0.009932363156347655
