"Model","Xviewer"
"BlockNumber","1"
"TraceName","CH1","CH2",
BlockSize,125000,125000,
Date,2026/03/18,2026/03/18,
Time,13:24:32.000000,13:24:32.000000,
VUnit,V,V,
HResolution,1.600000e-05,1.600000e-05,
HOffset,-1.999984e+00,-1.999984e+00,
HUnit,s,s,
,0.563125,1.80625
,0.531875,1.93125
,0.5475,2.0625
,0.615625,2.115625
,0.52125,1.984375
,0.590625,2.028125
,0.611875,1.984375
,0.58875,2.13125
,0.578125,1.996875
,0.59125,1.9125
,0.550625,1.953125
,0.52,2.165625
,0.604375,2.08125
,0.6675,2.15625
,0.618125,2.14375
,0.715625,1.815625
,0.586875,1.828125
,0.598125,1.9625
,0.63,1.9
,0.60125,2.065625
,0.5325,2.10625
,0.64125,1.896875
,0.568125,1.815625
,0.625,1.8625
,0.688125,2.296875
,0.634375,1.825
,0.711875,2.1625
,0.608125,2.015625
,0.66375,2.171875
,0.669375,2.128125
,0.6725,1.953125
,0.6775,2.1625
,0.694375,1.95625
,0.6725,2.10625
,0.64125,2.140625
,0.675625,2.01875
,0.7575,2.046875
,0.67,2.040625
,0.625,2.184375
,0.6125,2.04375
,0.598125,1.98125
,0.66375,2.096875
,0.638125,1.903125
,0.698125,2.196875
,0.695625,2.18125
,0.688125,1.978125
,0.64125,2.18125
,0.67,2.115625
,0.665,1.896875
,0.6425,1.86875
,0.646875,2.128125
,0.66625,1.85
,0.710625,2.159375
,0.681875,2.115625
,0.7075,1.896875
,0.678125,2.090625
,0.691875,2.103125
,0.649375,2.10625
,0.635625,1.890625
,0.691875,1.903125
,0.685,2.04375
,0.695,2.125
,0.695,2.140625
,0.6825,2.25
,0.6525,1.8375
,0.670625,2.140625
,0.666875,1.85
,0.648125,1.984375
,0.646875,1.93125
,0.66375,2.128125
,0.65,2.090625
,0.676875,2.159375
,0.66875,2.06875
,0.669375,1.878125
,0.648125,2.06875
,0.6675,1.890625
,0.66875,2.121875
,0.693125,2.103125
,0.598125,2.115625
,0.56125,1.928125
,0.648125,2.090625
,0.650625,2.171875
,0.61375,1.846875
,0.613125,2.15625
,0.563125,1.896875
,0.6775,2.184375
,0.58875,2.10625
,0.5475,1.825
,0.5625,1.98125
,0.586875,2.04375
,0.576875,1.94375
,0.571875,2.025
,0.48,1.978125
,0.52125,2.196875
,0.585,1.890625
,0.564375,1.925
,0.56125,2.00625
,0.5925,1.9
,0.576875,2.153125
,0.568125,1.878125
,0.58375,1.83125
,0.535625,2.046875
,0.46375,2.165625
,0.541875,1.95625
,0.50875,2.11875
,0.56,2.165625
,0.55,1.9625
,0.535,1.815625
,0.550625,2.075
,0.525625,2.1375
,0.458125,2.04375
,0.58375,1.9625
,0.544375,1.940625
,0.485,2.140625
,0.443125,1.91875
,0.48125,1.978125
,0.469375,2.046875
,0.571875,1.85
,0.470625,2.18125
,0.5025,2.015625
,0.478125,1.9625
,0.455,2.0625
,0.48,2.05
,0.489375,1.815625
,0.453125,2.165625
,0.44375,1.95625
,0.424375,2.090625
,0.471875,2.109375
,0.4275,2.05
,0.464375,2.140625
,0.455,1.85
,0.42375,1.896875
,0.450625,2.04375
,0.443125,1.95625
,0.4,1.91875
,0.455625,1.890625
,0.34375,2.071875
,0.425625,1.98125
,0.425,2.0375
,0.428125,2.15
,0.42125,2.075
,0.479375,1.875
,0.396875,2.184375
,0.4025,1.91875
,0.410625,1.9
,0.405625,1.95625
,0.429375,2.140625
,0.436875,2.
,0.42375,2.025
,0.435625,2.04375
,0.34375,2.040625
,0.395625,2.184375
,0.323125,1.925
,0.403125,2.140625
,0.36625,2.11875
,0.36125,1.978125
,0.395625,2.046875
,0.386875,1.98125
,0.478125,2.06875
,0.39625,2.3
,0.41625,1.940625
,0.34375,2.1625
,0.386875,2.
,0.416875,2.015625
,0.368125,2.103125
,0.403125,1.95625
,0.405625,2.096875
,0.429375,1.996875
,0.356875,1.815625
,0.349375,2.021875
,0.40125,2.040625
,0.370625,1.996875
,0.399375,1.890625
,0.38375,2.153125
,0.355625,2.171875
,0.363125,1.984375
,0.405625,1.84375
,0.3325,2.16875
,0.386875,1.828125
,0.36,2.184375
,0.3825,2.1125
,0.436875,1.984375
,0.37,1.84375
,0.3625,2.021875
,0.389375,2.1375
,0.370625,2.196875
,0.41375,2.159375
,0.373125,2.115625
,0.363125,2.021875
,0.398125,1.8625
,0.37125,1.8625
,0.366875,1.8125
,0.386875,1.9125
,0.3225,2.1125
,0.4,1.8625
,0.3525,2.05
,0.394375,1.896875
,0.36125,2.1375
,0.389375,1.96875
,0.36375,1.828125
,0.3875,1.984375
,0.435625,1.828125
,0.38375,2.04375
,0.32375,2.03125
,0.424375,2.1375
,0.415,1.84375
,0.405,2.221875
,0.395625,2.1375
,0.42375,2.16875
,0.378125,1.85
,0.416875,1.903125
,0.375,1.88125
,0.4,2.13125
,0.411875,1.825
,0.406875,1.81875
,0.439375,2.159375
,0.389375,2.1625
,0.433125,1.85
,0.375,1.98125
,0.373125,2.140625
,0.4025,2.015625
,0.399375,2.184375
,0.4125,2.090625
,0.431875,2.0375
,0.368125,1.890625
,0.425625,1.98125
,0.394375,1.96875
,0.413125,1.86875
,0.411875,1.85625
,0.46375,2.153125
,0.43125,1.840625
,0.459375,1.94375
,0.45,2.08125
,0.485625,1.9625
,0.411875,1.84375
,0.471875,1.996875
,0.410625,1.975
,0.493125,1.94375
,0.459375,1.984375
,0.441875,1.95625
,0.470625,2.18125
,0.3975,1.88125
,0.448125,2.05
,0.418125,1.953125
,0.4775,1.94375
,0.489375,2.184375
,0.488125,2.1
,0.464375,1.9375
,0.4825,2.096875
,0.496875,2.14375
,0.478125,1.95
,0.490625,1.978125
,0.508125,2.184375
,0.516875,1.93125
,0.505,1.959375
,0.494375,1.925
,0.498125,1.903125
,0.48,2.078125
,0.445625,1.90625
,0.438125,1.978125
,0.533125,1.896875
,0.499375,1.9125
,0.41,1.9375
,0.513125,1.953125
,0.538125,2.040625
,0.515625,1.875
,0.495,1.815625
,0.463125,2.090625
,0.46125,2.03125
,0.44,1.85625
,0.451875,2.153125
,0.4925,2.096875
,0.50875,2.075
,0.46875,2.01875
,0.4675,2.084375
,0.531875,1.896875
,0.50375,2.04375
,0.483125,2.06875
,0.53,1.8625
,0.505625,1.95625
,0.52625,1.95625
,0.45,2.08125
,0.47,1.85
,0.435625,1.953125
,0.465625,2.34375
,0.50375,1.896875
,0.5075,1.815625
,0.495,2.125
,0.5225,2.025
,0.474375,2.065625
,0.493125,2.1
,0.5225,1.884375
,0.54875,1.984375
,0.4675,2.1
,0.491875,2.090625
,0.46375,1.85
,0.483125,1.903125
,0.50875,1.8375
,0.48,2.090625
,0.55,2.1125
,0.491875,2.184375
,0.54375,1.878125
,0.523125,2.159375
,0.49,1.93125
,0.465625,1.91875
,0.528125,1.871875
,0.50125,2.00625
,0.475,1.91875
,0.516875,2.078125
,0.45125,2.0625
,0.546875,1.984375
,0.455625,2.078125
,0.4925,1.959375
,0.458125,2.184375
,0.496875,1.96875
,0.455,2.184375
,0.48,2.1125
,0.475,2.040625
,0.4675,1.996875
,0.469375,2.128125
,0.529375,1.984375
,0.46625,2.10625
,0.485625,2.178125
,0.46125,1.984375
,0.491875,1.871875
,0.446875,1.80625
,0.458125,2.11875
,0.5175,2.078125
,0.448125,1.8625
,0.414375,2.18125
,0.498125,1.98125
,0.45625,1.928125
,0.49,2.11875
,0.465625,2.078125
,0.48625,2.0625
,0.5175,2.184375
,0.45375,1.878125
,0.4375,1.821875
,0.455,1.9125
,0.46125,2.05
,0.438125,1.95
,0.4525,1.903125
,0.515,1.91875
,0.50375,2.140625
,0.458125,2.084375
,0.498125,2.153125
,0.485625,1.93125
,0.451875,2.
,0.485,2.1625
,0.476875,2.1375
,0.46875,2.159375
,0.475625,2.1375
,0.403125,1.8125
,0.40625,1.928125
,0.47,2.153125
,0.4025,2.034375
,0.405,2.028125
,0.465,2.096875
,0.40125,1.88125
,0.401875,2.15
,0.47875,1.875
,0.403125,1.875
,0.393125,1.940625
,0.415625,2.19375
,0.443125,1.890625
,0.43875,1.896875
,0.476875,2.075
,0.44,1.996875
,0.45,1.9
,0.475625,1.93125
,0.45625,1.95
,0.416875,2.075
,0.415,2.18125
,0.474375,1.95625
,0.45375,1.896875
,0.426875,2.040625
,0.42125,2.090625
,0.455,2.08125
,0.4775,1.875
,0.444375,1.896875
,0.475625,2.171875
,0.443125,2.184375
,0.4125,1.871875
,0.399375,1.821875
,0.47625,1.8625
,0.47,2.159375
,0.46125,1.96875
,0.476875,1.984375
,0.509375,1.971875
,0.441875,1.9625
,0.47875,1.85
,0.455,1.896875
,0.485625,1.88125
,0.45125,1.846875
,0.410625,1.94375
,0.44,1.921875
,0.501875,2.196875
,0.435,1.88125
,0.46125,2.034375
,0.44375,1.965625
,0.406875,1.840625
,0.484375,1.959375
,0.479375,2.103125
,0.44125,1.815625
,0.455,1.984375
,0.40125,1.940625
,0.471875,2.128125
,0.474375,1.9
,0.47,1.984375
,0.505625,1.93125
,0.40125,1.95
,0.47,1.875
,0.488125,1.98125
,0.504375,1.84375
,0.509375,2.184375
,0.411875,1.91875
,0.45125,1.8625
,0.445,2.15625
,0.40625,2.025
,0.439375,2.096875
,0.491875,2.359375
,0.495,1.9375
,0.444375,1.95625
,0.471875,1.821875
,0.44125,1.9125
,0.42125,2.1375
,0.44375,1.8125
,0.455,1.95625
,0.445625,2.05
,0.471875,2.10625
,0.44125,1.96875
,0.43,1.825
,0.48125,1.85
,0.464375,1.909375
,0.434375,2.13125
,0.4675,2.04375
,0.451875,1.953125
,0.4725,2.15625
,0.455,1.925
,0.446875,1.90625
,0.418125,1.96875
,0.4775,1.878125
,0.375,1.95625
,0.50125,1.8375
,0.518125,1.896875
,0.516875,2.090625
,0.411875,2.096875
,0.45375,1.896875
,0.478125,2.06875
,0.473125,1.971875
,0.5025,1.959375
,0.475,1.93125
,0.424375,1.896875
,0.439375,2.153125
,0.4925,1.909375
,0.475625,2.125
,0.45625,2.04375
,0.479375,1.953125
,0.43625,1.996875
,0.52125,2.153125
,0.5175,1.96875
,0.474375,2.125
,0.47,1.84375
,0.489375,1.96875
,0.456875,2.15625
,0.469375,2.046875
,0.50125,2.04375
,0.468125,2.140625
,0.445625,2.140625
,0.4425,1.915625
,0.4625,1.9125
,0.44125,1.921875
,0.51,2.0125
,0.429375,1.821875
,0.47625,2.0625
,0.455625,2.090625
,0.463125,2.11875
,0.431875,2.01875
,0.415,2.184375
,0.4125,1.8375
,0.42375,1.896875
,0.470625,2.15625
,0.40125,1.915625
,0.441875,2.146875
,0.4275,1.85
,0.431875,1.8625
,0.438125,1.928125
,0.451875,2.040625
,0.429375,2.034375
,0.38375,1.94375
,0.4275,2.06875
,0.35,1.825
,0.390625,1.815625
,0.373125,1.959375
,0.37625,1.828125
,0.366875,1.903125
,0.425625,1.9625
,0.326875,1.925
,0.295,1.953125
,0.3925,1.815625
,0.370625,2.075
,0.36125,2.184375
,0.385625,2.025
,0.375625,2.115625
,0.39625,1.8375
,0.395625,1.828125
,0.398125,1.8125
,0.341875,1.95625
,0.371875,1.996875
,0.368125,2.090625
,0.371875,1.953125
,0.35,2.35625
,0.371875,1.84375
,0.3325,1.946875
,0.28125,1.85
,0.390625,1.896875
,0.36125,1.80625
,0.323125,1.890625
