frequency_hz,amplitude_ch1,amplitude_ch2
0.0,1.113776845,0.032449375
0.5,0.21281180076447012,0.022581149345205602
1.0,0.08724114828994647,0.01790361173351196
1.5,0.018829432124239813,0.012747182695873693
2.0,0.13031426698898552,1.933428508539643
2.5,0.006330103205159774,0.0075658971843723215
3.0,0.02092085883259154,0.01368393321210361
3.5,0.0034073210837273675,0.013744210262165862
4.0,0.015253436214085508,0.015030968008682345
4.5,0.004946820968665734,0.0019933766559823768
5.0,0.005040736582376946,0.0035490333966783634
5.5,0.008267853336746176,0.0014335424206333028
6.0,0.013999433942158026,0.04280571531222135
6.5,0.002479179152175021,0.00047789805467981535
7.0,0.007475837624379959,0.004209806258294325
7.5,0.0027986247464440294,0.001102306720286603
8.0,0.002274045203486887,0.004591858554964196
8.5,0.0013448286980437293,0.0015280521097880972
9.0,0.00740012716814624,0.0009054609447413387
9.5,0.003481089374265555,0.001158839685728087
10.0,0.008535104358856948,0.005873982023643415
