frequency_hz,amplitude_ch1,amplitude_ch2
0.0,0.31730857,0.272823925
0.5,0.045348327556346386,0.026546990854010834
1.0,0.0980430447550225,0.044583965711291446
1.5,0.03049177366826993,0.04680798314468707
2.0,0.01440546859667336,0.0924696117892046
2.5,0.01508462132196705,0.011062231236704719
3.0,0.027084479821312422,0.03939259274653952
3.5,0.05507004418435762,0.030541282314337552
4.0,0.040599776938855345,1.739257707067298
4.5,0.06428093476762234,0.022217926519293767
5.0,0.03266774439195703,0.009833324266005757
5.5,0.018257889534929118,0.019977649350632454
6.0,0.030462553909856603,0.056764786323414376
6.5,0.01795708273843533,0.005941364497950341
7.0,0.026192035789150053,0.024043506230062513
7.5,0.026571350300247105,0.02540074927902154
8.0,0.05111034872390498,0.09113886886612475
8.5,0.02061431462091624,0.015750597627313723
9.0,0.018675341208833504,0.012471748899803408
9.5,0.008182049100109902,0.010618583866322636
10.0,0.008016263654464123,0.013777045600949608
