frequency_hz,amplitude_ch1,amplitude_ch2
0.0,0.90266405,0.10123135000000001
0.5,0.27654549292908087,0.15774330534715192
1.0,0.08350820792741456,0.36284747393090994
1.5,0.046321704931772595,1.5037819607378788
2.0,0.1373180758752801,0.9983085146350743
2.5,0.059294955458922986,0.41258224199176785
3.0,0.061476445991390107,0.28095925287314233
3.5,0.06460395360055844,0.2034955548497639
4.0,0.023012165495224297,0.16845519058618014
4.5,0.021418104909511772,0.13603017220182173
5.0,0.007890890498522325,0.07825298168386438
5.5,0.030167206563701286,0.11856700699188223
6.0,0.021121994925282866,0.10375183556077937
6.5,0.01800050243730113,0.09527544430926302
7.0,0.026715254604610758,0.08625272916101771
7.5,0.018132062910719268,0.0798132013618003
8.0,0.013401150677924975,0.07546187761200802
8.5,0.01669028154993545,0.05921579235134224
9.0,0.016141137107051246,0.06471302204796457
9.5,0.011370772880232345,0.0608107163394536
10.0,0.01884756121361218,0.061109410248039536
