frequency_hz,amplitude_ch1,amplitude_ch2
0.0,1.1697006399999998,0.16351807999999998
0.5,0.22747152887664618,0.023245701422928287
1.0,0.2926432896805182,0.11212914046232418
1.5,0.414970562808023,0.2292766864090322
2.0,0.25957367722189145,1.7481158917091182
2.5,0.13123223543129103,0.4251171563298453
3.0,0.19708857673726476,0.21947758342843338
3.5,0.10407360409379926,0.14171446545469804
4.0,0.15212433012739418,0.1939806348151052
4.5,0.04483322676775789,0.03936570189409958
5.0,0.023085624627367563,0.05381604015826202
5.5,0.05936553840165156,0.05286669784668674
6.0,0.026484239931133573,0.044129512925921315
6.5,0.03575737372123147,0.05975025612167611
7.0,0.0070994855472615356,0.04463077287624276
7.5,0.019019877201128178,0.03931649021493627
8.0,0.024708927542541323,0.03524466798953223
8.5,0.044986577347153604,0.045307637456712714
9.0,0.030072451413254552,0.03643164271783563
9.5,0.023390473400911622,0.03174630894051598
10.0,0.04359915050787049,0.0313589336915335
